Row_number,"meta{qafiya:..., bahr:...}",meta
289,"meta{qafiya:ـالي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
290,"meta{qafiya:ـالي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
291,"meta{qafiya:ـالي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
292,"meta{qafiya:ـالي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
293,"meta{qafiya:ـالي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
294,"meta{qafiya:ـالي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
295,"meta{qafiya:ـالي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
296,"meta{qafiya:ـالي, bahr:بسيط}","meta{qafiya:ي, bahr:بسيط}"
297,"meta{qafiya:ـقه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
298,"meta{qafiya:ـقه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
299,"meta{qafiya:ـقه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
300,"meta{qafiya:ـقه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
301,"meta{qafiya:ـقه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
302,"meta{qafiya:ـقه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
303,"meta{qafiya:ـعنا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
304,"meta{qafiya:ـعنا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
305,"meta{qafiya:ـعنا, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
306,"meta{qafiya:ـكني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
307,"meta{qafiya:ـكني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
308,"meta{qafiya:ـكني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
309,"meta{qafiya:ـكني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
310,"meta{qafiya:ـكني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
311,"meta{qafiya:ـعه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
312,"meta{qafiya:ـعه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
313,"meta{qafiya:ـعه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
314,"meta{qafiya:ـعه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
315,"meta{qafiya:ـاد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
316,"meta{qafiya:ـاد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
317,"meta{qafiya:ـاد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
318,"meta{qafiya:ـانه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
319,"meta{qafiya:ـانه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
320,"meta{qafiya:ـانه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
321,"meta{qafiya:ـانه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
322,"meta{qafiya:ـانه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
323,"meta{qafiya:ـانه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
324,"meta{qafiya:ـانه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
325,"meta{qafiya:ـنك, bahr:رجز}","meta{qafiya:ك, bahr:رجز}"
326,"meta{qafiya:ـنك, bahr:رجز}","meta{qafiya:ك, bahr:رجز}"
327,"meta{qafiya:ـنك, bahr:رجز}","meta{qafiya:ك, bahr:رجز}"
328,"meta{qafiya:ـنك, bahr:رجز}","meta{qafiya:ك, bahr:رجز}"
329,"meta{qafiya:ـام, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
330,"meta{qafiya:ـام, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
331,"meta{qafiya:ـام, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
332,"meta{qafiya:ـام, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
333,"meta{qafiya:ـام, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
334,"meta{qafiya:ـام, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
335,"meta{qafiya:ـام, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
336,"meta{qafiya:ـام, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
337,"meta{qafiya:ـام, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
338,"meta{qafiya:ـبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
339,"meta{qafiya:ـبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
340,"meta{qafiya:ـبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
341,"meta{qafiya:ـلك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
342,"meta{qafiya:ـلك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
343,"meta{qafiya:ـلك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
344,"meta{qafiya:ـلك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
345,"meta{qafiya:ـلك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
346,"meta{qafiya:ـاس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
347,"meta{qafiya:ـاس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
348,"meta{qafiya:ـاس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
349,"meta{qafiya:ـدي, bahr:رمل}","meta{qafiya:ي, bahr:رمل}"
350,"meta{qafiya:ـدي, bahr:رمل}","meta{qafiya:ي, bahr:رمل}"
351,"meta{qafiya:ـدي, bahr:رمل}","meta{qafiya:ي, bahr:رمل}"
352,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
353,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
354,"meta{qafiya:ـها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
355,"meta{qafiya:ـونه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
356,"meta{qafiya:ـونه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
357,"meta{qafiya:ـونه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
358,"meta{qafiya:ـونه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
359,"meta{qafiya:ـمره, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
360,"meta{qafiya:ـمره, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
361,"meta{qafiya:ـمره, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
362,"meta{qafiya:ـمره, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
363,"meta{qafiya:ـمره, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
364,"meta{qafiya:ـوبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
365,"meta{qafiya:ـوبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
366,"meta{qafiya:ـوبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
367,"meta{qafiya:ـوبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
368,"meta{qafiya:ـوبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
369,"meta{qafiya:ـوبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
370,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
371,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
372,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
373,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
374,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
375,"meta{qafiya:ـبها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
376,"meta{qafiya:ـمه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
377,"meta{qafiya:ـمه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
378,"meta{qafiya:ـمه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
379,"meta{qafiya:ـيقي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
380,"meta{qafiya:ـيقي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
381,"meta{qafiya:ـيقي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
382,"meta{qafiya:ـيقي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
383,"meta{qafiya:ـها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
384,"meta{qafiya:ـها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
385,"meta{qafiya:ـها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
386,"meta{qafiya:ـها, bahr:مسحوب}","meta{qafiya:ا, bahr:مسحوب}"
387,"meta{qafiya:ـوت, bahr:مسحوب}","meta{qafiya:ت, bahr:مسحوب}"
388,"meta{qafiya:ـوت, bahr:مسحوب}","meta{qafiya:ت, bahr:مسحوب}"
389,"meta{qafiya:ـوت, bahr:مسحوب}","meta{qafiya:ت, bahr:مسحوب}"
390,"meta{qafiya:ـوت, bahr:مسحوب}","meta{qafiya:ت, bahr:مسحوب}"
391,"meta{qafiya:ـور, bahr:رجز}","meta{qafiya:ر, bahr:رجز}"
392,"meta{qafiya:ـور, bahr:رجز}","meta{qafiya:ر, bahr:رجز}"
393,"meta{qafiya:ـور, bahr:رجز}","meta{qafiya:ر, bahr:رجز}"
394,"meta{qafiya:ـوبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
395,"meta{qafiya:ـوبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
396,"meta{qafiya:ـوبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
397,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
398,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
399,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
400,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
401,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
402,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
403,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
404,"meta{qafiya:ـتك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
405,"meta{qafiya:ـتك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
406,"meta{qafiya:ـتك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
407,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
408,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
409,"meta{qafiya:ـين, bahr:مسحوب}","meta{qafiya:ن, bahr:مسحوب}"
410,"meta{qafiya:ـته, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
411,"meta{qafiya:ـته, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
412,"meta{qafiya:ـته, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
413,"meta{qafiya:ـته, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
414,"meta{qafiya:ـاره, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
415,"meta{qafiya:ـاره, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
416,"meta{qafiya:ـاره, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
417,"meta{qafiya:ـاره, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
418,"meta{qafiya:ـاره, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
419,"meta{qafiya:ـاره, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
420,"meta{qafiya:ـاره, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
421,"meta{qafiya:ـاره, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
422,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
423,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
424,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
425,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
426,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
427,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
428,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
429,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
430,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
431,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
432,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
433,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
434,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
435,"meta{qafiya:ـمها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
436,"meta{qafiya:ـيني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
437,"meta{qafiya:ـيني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
438,"meta{qafiya:ـيني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
439,"meta{qafiya:ـيني, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
440,"meta{qafiya:ـيقه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
441,"meta{qafiya:ـيقه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
442,"meta{qafiya:ـيقه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
443,"meta{qafiya:ـيقه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
444,"meta{qafiya:ـوس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
445,"meta{qafiya:ـوس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
446,"meta{qafiya:ـوس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
447,"meta{qafiya:ـوس, bahr:مسحوب}","meta{qafiya:س, bahr:مسحوب}"
448,"meta{qafiya:ـاتها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
449,"meta{qafiya:ـاتها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
450,"meta{qafiya:ـاتها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
451,"meta{qafiya:ـله, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
452,"meta{qafiya:ـله, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
453,"meta{qafiya:ـله, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
454,"meta{qafiya:ـله, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
455,"meta{qafiya:ـله, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
456,"meta{qafiya:ـله, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
457,"meta{qafiya:ـحها, bahr:رجز}","meta{qafiya:ا, bahr:رجز}"
458,"meta{qafiya:ـحها, bahr:رجز}","meta{qafiya:ا, bahr:رجز}"
459,"meta{qafiya:ـحها, bahr:رجز}","meta{qafiya:ا, bahr:رجز}"
460,"meta{qafiya:ـحها, bahr:رجز}","meta{qafiya:ا, bahr:رجز}"
461,"meta{qafiya:ـحها, bahr:رجز}","meta{qafiya:ا, bahr:رجز}"
462,"meta{qafiya:ـحها, bahr:رجز}","meta{qafiya:ا, bahr:رجز}"
463,"meta{qafiya:ـاده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
464,"meta{qafiya:ـاده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
465,"meta{qafiya:ـاده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
466,"meta{qafiya:ـاده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
467,"meta{qafiya:ـايم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
468,"meta{qafiya:ـايم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
469,"meta{qafiya:ـايم, bahr:مسحوب}","meta{qafiya:م, bahr:مسحوب}"
470,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
471,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
472,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
473,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
474,"meta{qafiya:ـله, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
475,"meta{qafiya:ـايب, bahr:مسحوب}","meta{qafiya:ب, bahr:مسحوب}"
476,"meta{qafiya:ـايب, bahr:مسحوب}","meta{qafiya:ب, bahr:مسحوب}"
477,"meta{qafiya:ـايب, bahr:مسحوب}","meta{qafiya:ب, bahr:مسحوب}"
478,"meta{qafiya:ـيع, bahr:مسحوب}","meta{qafiya:ع, bahr:مسحوب}"
479,"meta{qafiya:ـيع, bahr:مسحوب}","meta{qafiya:ع, bahr:مسحوب}"
480,"meta{qafiya:ـيع, bahr:مسحوب}","meta{qafiya:ع, bahr:مسحوب}"
481,"meta{qafiya:ـيع, bahr:مسحوب}","meta{qafiya:ع, bahr:مسحوب}"
482,"meta{qafiya:ـيع, bahr:مسحوب}","meta{qafiya:ع, bahr:مسحوب}"
483,"meta{qafiya:ـيع, bahr:مسحوب}","meta{qafiya:ع, bahr:مسحوب}"
484,"meta{qafiya:ـيع, bahr:مسحوب}","meta{qafiya:ع, bahr:مسحوب}"
485,"meta{qafiya:ـانب, bahr:مسحوب}","meta{qafiya:ب, bahr:مسحوب}"
486,"meta{qafiya:ـانب, bahr:مسحوب}","meta{qafiya:ب, bahr:مسحوب}"
487,"meta{qafiya:ـانب, bahr:مسحوب}","meta{qafiya:ب, bahr:مسحوب}"
488,"meta{qafiya:ـانب, bahr:مسحوب}","meta{qafiya:ب, bahr:مسحوب}"
489,"meta{qafiya:ـيك, bahr:بسيط}","meta{qafiya:ك, bahr:بسيط}"
490,"meta{qafiya:ـيك, bahr:بسيط}","meta{qafiya:ك, bahr:بسيط}"
491,"meta{qafiya:ـيك, bahr:بسيط}","meta{qafiya:ك, bahr:بسيط}"
492,"meta{qafiya:ـير, bahr:مسحوب}","meta{qafiya:ر, bahr:مسحوب}"
493,"meta{qafiya:ـير, bahr:مسحوب}","meta{qafiya:ر, bahr:مسحوب}"
494,"meta{qafiya:ـير, bahr:مسحوب}","meta{qafiya:ر, bahr:مسحوب}"
495,"meta{qafiya:ـير, bahr:مسحوب}","meta{qafiya:ر, bahr:مسحوب}"
496,"meta{qafiya:ـير, bahr:مسحوب}","meta{qafiya:ر, bahr:مسحوب}"
497,"meta{qafiya:ـونه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
498,"meta{qafiya:ـونه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
499,"meta{qafiya:ـونه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
500,"meta{qafiya:ـونه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
501,"meta{qafiya:ـونه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
502,"meta{qafiya:ـونه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
503,"meta{qafiya:ـبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
504,"meta{qafiya:ـبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
505,"meta{qafiya:ـبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
506,"meta{qafiya:ـبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
507,"meta{qafiya:ـبه, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
508,"meta{qafiya:ـمه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
509,"meta{qafiya:ـمه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
510,"meta{qafiya:ـمه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
511,"meta{qafiya:ـمه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
512,"meta{qafiya:ـمه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
513,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
514,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
515,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
516,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
517,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
518,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
519,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
520,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
521,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
522,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
523,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
524,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
525,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
526,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
527,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
528,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
529,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
530,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
531,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
532,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
533,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
534,"meta{qafiya:ـوده, bahr:مسحوب}","meta{qafiya:ه, bahr:مسحوب}"
535,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
536,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
537,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
538,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
539,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
540,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
541,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
542,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
543,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
544,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
545,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
546,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
547,"meta{qafiya:ـالي, bahr:مسحوب}","meta{qafiya:ي, bahr:مسحوب}"
548,"meta{qafiya:ـد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
549,"meta{qafiya:ـد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
550,"meta{qafiya:ـد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
551,"meta{qafiya:ـد, bahr:مسحوب}","meta{qafiya:د, bahr:مسحوب}"
552,"meta{qafiya:ـايد, bahr:بسيط}","meta{qafiya:د, bahr:بسيط}"
553,"meta{qafiya:ـايد, bahr:بسيط}","meta{qafiya:د, bahr:بسيط}"
554,"meta{qafiya:ـايد, bahr:بسيط}","meta{qafiya:د, bahr:بسيط}"
555,"meta{qafiya:ـاجه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
556,"meta{qafiya:ـاجه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
557,"meta{qafiya:ـاجه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
558,"meta{qafiya:ـاجه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
559,"meta{qafiya:ـاجه, bahr:بسيط}","meta{qafiya:ه, bahr:بسيط}"
560,"meta{qafiya:ـاك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
561,"meta{qafiya:ـاك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
562,"meta{qafiya:ـاك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
563,"meta{qafiya:ـاك, bahr:مسحوب}","meta{qafiya:ك, bahr:مسحوب}"
564,"meta{qafiya:ـدها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
565,"meta{qafiya:ـدها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
566,"meta{qafiya:ـدها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
567,"meta{qafiya:ـدها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
568,"meta{qafiya:ـدها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
569,"meta{qafiya:ـدها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
570,"meta{qafiya:ـدها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
571,"meta{qafiya:ـالها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
572,"meta{qafiya:ـالها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
573,"meta{qafiya:ـالها, bahr:بسيط}","meta{qafiya:ا, bahr:بسيط}"
