id,Titlecleaned,Poem_line_cleaned,Extended_Summary,Prompt,Status,names,url,taskId
171,لعبه زمن,"لعب الزمن ماهو مثل باقي العاب      العب علي كيفك واذا تروم لا توب
بيجيك يوم وتندفن تحت لتراب      عقب الدفن بتعرف وش يعني لعوب
لو نك فتحت ابواب لك غالق ابواب      ولو نك تعرف العيب العيب عذروب
بديت اكتب واجلب كتاب بكتاب      واخذ معانيهن واخليهن بصوب
اذا الشعر يا ناس قد جاب ما جاب      وان جاك شعري بالفعل جاك مكتوب
هذا وانا ارقي علي كل مرقاب      اسري بليل الضد من فوق عرقوب
هذا وانا اشر وهي تطير اسراب      بيض الحمام تطير ما تحمل ذنوب
هذا وانا تايب وابليس ما تاب      هذا وانا انعت وهو ضيع دروب
هذا وانا اضحك وهو يضحك بناب      ثوبي ستير وصاحبي عاري الثوب
هذا وانا اعد الخطا عد لتراب      ينعد كيف انعد وهو كان محسوب
بعض البشر تحسب علي كيف الاسباب      وبعض البشر من دون سبه ومطلوب
كل يحسب احساب وانا احسب حساب      وكل يجي باسلوب وانا لي اسلوب
باب فتح من باب والباب كذاب      باب اذا يفتح تري الباب مكذوب
هذا وانا اغني وانا اقول سحاب      سحاب يمطر صوب وانا امطر بصوب
مثل العروق تجيس وتدق الاعصاب      او مثل ساحر طار في الجو مجلوب
من هو يامن يمشي بليل في غاب      بعض العسل يا صاحبي سم مشروب
هذا هدفيه صبته وصاب بصواب      صوب الذي صوب ولا صاب مصيوب
بحر غزير وطامي البحر عباب      ونار تطفي نار من حر لاهوب
حد عليه عيون والناس رقاب      وحد اختفي لو كان بالحيل مرقوب
حد يشل سلاح وحد شايل حراب      وحد يعشق شروق وحد يعشق غروب
حد يشيل الهم في ضرب الاصحاب      كل من ضرب في يوم له يوم مضروب
وانا معادل اخذ الحب لاحباب      وكل يحب الطيب .. الطيب محبوب
قالوا سهل اني انا افتح الباب      وانا هويت الصعب لو دارت حروب
لعبه وانا العب علي كل الالعاب      طبعي انا غالب ولا اكون مغلوب","في قصيدة ""لعبة زمن""، يصور فزاع الزمن كلعبة قاسية لا ترحم، تفتح أبواباً وتغلقها، وتكشف حقائقها بعد الدفن تحت التراب. يتباهى الشاعر بسيطرته على الشعر والمعاني، راقياً فوق المراقبين، يسجن الأعداء بليلاً، ويرسل حماماً أبيض بريئاً يطير. يقارن نفسه بالتائب دون إبليس، والضاحك بثوب نظيف أمام الآخر العاري، محاسباً الأخطاء بدقة رغم حسابات الزمن المخادعة. يصف تناقضات البشر: من يُحاسب بسبب ومن بدون، أبواب كاذبة، مطر يصبّ صوباً، عسل ممزوج بسم. يبرز الاختلافات في الأقدار – سلاح أو حراب، شروق أو غروب – لكنه يؤكد تفوقه، غالباً لا مغلوباً، محباً للطيبين، جاهزاً للحروب. ملحمة فلسفية عن الدهاء والصمود أمام لعبة الزمن الماكرة.","Cinematic medium shot of Sheikh Hamdan bin Mohammed (Fazaa) in immaculate white kandura and black bisht with subtle gold embroidery, his expression resolute and contemplative, embodying mastery over time’s cruel game, standing against a muted cyan and desaturated teal twilight desert backdrop. Around him, scattered cracked desert earth and wilting desert roses symbolize harsh truths unearthed, while a solitary white dove takes flight nearby, representing innocence amid conflict. Soft incense smoke wisps curl gently, adding spiritual depth. Moody golden hour volumetric rim lighting with cool blue-grey tones and warm amber highlights accentuate his dignified presence. Shot on ARRI Alexa 65 with anamorphic 85mm lens, shallow depth of field with bokeh, subtle film grain texture, cinematic masterpiece, Apple TV+ premium documentary aesthetic, contemplative and poetic atmosphere, no text, no watermark, no women.",,,,
172,لله درك,"سالت عنك وانت تسال عني      لان الغلا في قلوبنا متحرك
اصفر خضر احمر سماوي بني      لي غرني اليوم ما قد غرك
لكن بالبس قصيدي جني      يالين يسمعها كفا الله شرك
هي غلطه منك و غلطه مني      لكن انا يا صاحبي ما اضرك
عنك كلام الناس والا عني      الشوق بارد وانت ويش يحرك
كنك تدور ف الرحيل و كني      اريد امرك واستحي ما امرك
يا مجنن مشاعري جنني      اموت في جنانك و لله درك
صدك عطل لكن ماهو بفني      لا عاد تبعد والبعد ما سرك
جمال شوقي من غلاك تحني      وشلون تبغيها لا رحت تبرك
تبغي كلام الصدق انا لو اني      ماذقت حلوك مااشتكي من مرك
امانتك زدني غلا وامني      واواعدك واصدق معك وابرك","قصيدة ""لله درك"" لفزاع تعبر عن حوار عاطفي مشحون بالغلا المتبادل بين العاشقين، حيث يسأل كل عن الآخر وسط ألوان الشوق المتقلبة (أصفر، أخضر، أحمر، سماوي، بني). يعترف الشاعر بغفلة مشتركة أثارت كلام الناس وصدوداً مؤقتاً، لكنه يرفض الرحيل، متوسلاً بالوفاء والجنون العشقي: ""يا مجنن مشاعري جنني، أموت في جنانك"". يؤكد أن شوقَهِ باردٌ لا يُطفئه إلا غلا المحبوب، ويعدُّ بالصدق والبركة، مردداً المطلع ليرسخ العهد الأبدي رغم العواصف. ملحمة حبٍّ نبطيّ يمزج فيها الاعتراف بالخطأ بالتمسك بالوصل، مثالية لصورة بوستر تعكس ألوان الغرام المتأجج والعيون الدامعة.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and black bisht with subtle gold embroidery, his face reflecting intense, conflicted longing and heartfelt vulnerability under muted cyan and desaturated teal tones. He stands against a twilight desert backdrop with soft amber rim lighting, scattered wilting desert roses and delicate incense smoke wisps symbolizing love’s pain and memory. A distant falcon soars faintly in the cool blue-grey sky, volumetric rays casting moody shadows, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare and subtle film grain, contemplative, poetic atmosphere, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women.",,,,
173,لم تري,"للحين يا اغلي من سعر نفط العراق      سعر الذهب في سويسرا وانجلترا
وانا عليك احن يا حلو المذاق      والناس ما تدري لكن قلبك دري
خليتني اخسر منافسه السباق      اقدمك قدام .. وتعود ورا
يا مير قلب متيمك تري الفراق      في ذمتي ما هوب طبع الامرا
صاحبك له سمعه علي اوسع نطاق      ظلاله لحاله لخلق الله ذري
لكنك تحمله حمل ما يطاق      ويقوم به مثل الحصان الابجرا
سريت قلبي في رجا لحظه عناق      واخلفت وعدك ليت قلبي ماسري
والجمله اللي ما تجي ضمن السياق      ما تنكتب اصلا ولا هي تنقرا
وكان احترقت من الهجر موت احتراق      الا بعد باقول له اعصا وري
لاني محذرك من يوم الفراق      اللي يذل اهل المدن واهل القري
محذرنك والعروق اللي دقاق      ما ينفعن وجروح قلبي ما بري
ولكن خيلي يشبهه ذاك البراق      ما كنه الا يوم اقبل ( لم تري )
وخليتني اخسر منافسه السباق      واقدمك قدام .. وتعود ورا","قصيدة ""لم تري"" لفزاع، ملحمة عاطفية تُعلي المحبوب فوق سعر نفط العراق وذهب سويسرا، معبرة عن حنين يفوق الثروات. يصف الشاعر خسارة السباق لأجلها، إذ يقدمها أماماً فتعود خلفاً، محذراً من فراق يذل المدن والقرى. يُبرز تناقض طبعها الرافض للهجر رغم وعود الخيانة، وصبرها على حمل ثقيل كالحصان الأبجر. يتردد الألم في جروح القلب غير البريئة، مع رجاء عناق يخلف الوعد، ومقارنة خيله بالبراق في يوم القبلة المجهولة ""لم تري"". صور حسية للحب المتيم، الغلا الدري، والحرقة من الهجر، تُكرر لتعزيز الإيقاع العذابي، تجسد نبل فزاع في وفائه رغم الصدود.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and black bisht with subtle gold embroidery, his face reflecting deep, contemplative longing and restrained pain, standing against a muted cyan and desaturated teal twilight desert backdrop. Around him, scattered wilting desert roses and sand slipping through fingers symbolize yearning and loss, with a distant falcon feather drifting softly in the cool blue-grey air. Volumetric golden rim lighting with soft amber highlights accentuates his solemn expression, shallow depth of field with bokeh blurring traditional Sadu textile patterns subtly woven into the background. Shot on ARRI Alexa 65 with anamorphic 85mm lens flare and gentle film grain texture, evoking a poetic, emotionally resonant atmosphere of love, sacrifice, and unwavering loyalty. 8K photorealistic cinematic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women.",,,,
174,ليل وراه ليل,"ماقد عصاني بعيشتي عمر دنياي      و لوني ابا احكي كيف اقدر احاكيه
مدري وش اللي جاب هالحظ وياي      كل من شكيت لشخص لقيتها فيه
بلواي اصلا كله العمر بلواي      ما ابيه و ياليت اقدر اقول ما ابيه
لاني بعطشان ولا شارب الماي      و لاني انا ماخذ و لاني بمعطيه
لاني انا المذكور و لاني بمنساي      مدري انا اللي غالي او اني اغليه
احسب خطاي وكل خطوه بممشاي      امشي برمش رضاه لو رمش بامشيه
عشت بغرام الموت باحساس منفاي      مدري لايه غربه اليوم انفيه
ذوبت لك عمري مثل سكر بشاي      عمر الحيا يا سكر العمر امليه
كل الحواس تقول وش جاي وش جاي      خايف تضيع اصابعي بصبع ايديه
ابغي اشبه نظرتي ترسم خطاي      حتي القصيده ما لقت اي تشبيه
مدري يا عازف عوده بحزن والناي      ما اقدر المه ولا بعد اقدر اطريه
قالوا لي هذا حزنك وقلت ش الراي      ايه حزن ، ايه كابه .. ش اسميه
يومي انا هذا .. انا عشت دنياي      ليل وراه الليل وش عقبه يجيه
عشت بزمان قلت للطير مولاي      كل من رفع جنحان فزيت لبيه","قصيدة ""ليل وراه ليل"" ملحمة وجدانية لفزاع تعبر عن حياة منفطرة بالغرام الذي يفوق الوصف، حيث يصف الشاعر عمره كسكر مذوب في شاي الحبيب، بلوى لا يريدها لكنه يمشي خطواتها برمش رضاه. يتردد صوت الضياع في ليل متصل بليل، عطشٌ لا يرويه ماء، وغربة تنفي المنفى، مع خوفٍ من اندماج الأصابع في يديه. يرفض تسمية الحزن، فهو يومه ودنياه كلها، زمانٌ يقفز فيه لكل طير يرفع جناحاً ناسباً للمولى. صور حسية كالناي الحزين والعود الباكي ترسم عجز الشعر عن التشبيه، مؤكدة أن هذا الغرام موتٌ حيّ يذيب الكيان في الغالي، بليلٍ لا عقب له سوى الاستمرار.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and finely embroidered black bisht, his face reflecting profound, contemplative longing and poetic melancholy, set against a muted cyan and desaturated teal twilight desert backdrop symbolizing endless night merging into night, scattered wilting desert roses and a single falcon feather resting nearby embodying love’s painful beauty and noble freedom, subtle incense smoke wisps curling through the cool blue-grey air, volumetric golden rim lighting with soft amber highlights, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic 85mm lens flare, film grain texture, emotionally resonant and poetic atmosphere, 8K photorealistic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",,,,
175,ليه  و كيف  و عن  و من,"يا هجوسي للزمن حكمه وللمهموم والي      والبنادم راس ماله عزته والله وكيله
اعتزالي للحياه المغريه غير اعتزالي      والدروب الداءريه والدروب المستطيله
ومستحيلات الدروب احبها والاستحالي      ما تخوفني الدروب الكايده والمستحيله
هيبتي فعلا تسولف به رجال وراس مالي      ذكر شيخ لا وقف وقفته تغني عن جزيله
والقصيد يقاسم الاحساس والبيت ارتجالي      عني الساري لا منك ضقت والطرقه طويله
لا تهاب الكوس والا ترهبك ريح الشمالي      دامك تعرف النصر ماهي تشابهه الفشيله
لين تلقي لك وطن كنه من الفكر الخيالي      ينتمي لك وانت من زود المحبه تنتمي له
وان سالت اجاوبك لكن بطرح لك سءالي      والسءال اللي انا بطرحه لا تطلب بديله
من يعلم الاغنيا اللي يحبون الريالي      عن كرم حاتم وفلسفته ووقفته النبيله
ومن يفهم الاغبيا ان البحر ماهوب حالي      لا تلاطم موجه وحول علي التربه مسيله
ومن يترجم لي رموز الوقت وظروف الليالي      كل رمز له حروف وكل حرف فيه ميله
ومن يسولف لي عن دموع الغلا من عين غالي      وعن احاسيس الشجر لا غرقه مزن المخيله
وعن تفاصيل الكلام اللي ابيه وما طري لي      وعن تخباط المضيع يوم ما حصل دليله
وعن حنين النوق لا منها رعت خضر المفالي      وعن غرام الوادي اللي له سنه ما مر سيله
وعن صقور ما تطيح الا علي روس الجبالي      ليه قامت كل عصفور تجي له تنثني له
وعن نهار اشرقت شمسه ولا شفت الظلالي      وعن طموح يمتلك غايه لكن ماله وسيله
وعن علوم ما تقال وعن علوم لو تقالي      كان ميزنا مابين اهل التقي واهل الرذيله
وكيف كل انسان يطمح بانه الشخص المثالي      وكيف انا قلبي سعيد ونفسي القاها عليله
وكيف تعبر فرحه البنت اليتيمه من خلالي      وكيف ازرع حزنها فرحه وضحكتها حصيله
وكيف اكون دوله في القدس من دون احتلالي      وكيف انصب حاكم واعي وطلاته جميله
وكيف اخلي اسمي مقدر اذا ذكروا مجالي      وكيف اداوي بالكرم تفاهه النفس البخيله
وكيف اوضف جهدي لتحقيق صعبات الامالي      وكيف يجيني ما تمنيته وانا وشلون اجي له
وليه حظي ما يساعدني اذا قل احتمالي      وليه غلطات الزميل المحترم يجرح زميله
وليه ليلي ما يقدرني وانا ساهر لحالي      وليه صبحي ما يفرحني كثيره او قليله
وليه ظهري بيح لصبحي سبب قله وصالي      وليه عصري يشتكي ظهره وظلمه عند ليله
وليه ما تخلي قلوب المسلمين من التعالي      وليه جفني ما تبكيه الحمام ولا هديله
ليه والا كيف والا عن ومن هذا سءالي      جاوبه بالطرقي اللي طرقتك طرقه طويله
ولا تضايق للزمن حكمه وللمهموم والي      والبنادم راس ماله عزته والله وكيله","قصيدة ""ليه .. و كيف .. و عن .. و من"" ملحمة تأملية فلسفية لفزاع، تُخاطب ""هجوسي"" في وجه الزمن القاسي، مؤكدة أن عزة الإنسان رأس ماله والله كيله. يُمجّد الاعتزال عن الحياة المغرية والدروب الدائرية، محبّاً المستحيلات والكائدة دون خوف، فهيبته ذكر شيخٍ لا يُقدَّر بثمن. يرتجل الأبيات مشاركةً للإحساس في طريق طويلٍ لا ضيق فيه، ناصحاً بعدم الرهبة من الكوس أو ريح الشمالي، لأن النصر لا يشبه الفشل، حتى يجد الإنسان وطناً خيالياً ينتمي له بالمحبة المضاعفة.

يطرح الشاعر سُلالم أسئلة وجودية عميقة: من يُعَلِّم الأغنياء كرم حاتم؟ من يُفْهِم الأغبياء هدوء البحر؟ من يترجم رموز الليالي ودموع الغلا وعواطف الطبيعة الشجرية والنوق والوديان والصقور الجليلة؟ عن نهار بلا ظلال، طموح بلا وسيلة، علوم تُخْفَى لتمييز التقي من الرذيل؟ كيف يدَّعي الجميع الكمال رغم علل النفس؟ كيف يُسْرِد فرح اليتيمة وضحكتها حصاداً؟ كيف يبني دولةً في القدس دون احتلال، ويحكم بعقلٍ وطُلَّةٍ جميلة، ويُدْرَأُ بخل النفوس بالكرم، ويُجْهِدُ لصعاب الأماني حتى تأتي الآمال؟

وليه يخذل الحظ، ويجرح الزميل زميله، ولا يُقَدِّر الليل الساهرَ، ولا يُفْرِحُ الصبحُ؟ وليه يشتكي الظهرُ والعصرُ الظلامَ، وتتعالَ قُلُوبُ المسلمين، ولا تبكي العينُ الحمامَ؟ يختتم بدعوةٍ للصبر والعزة، مردِّداً المقطعَ الافتتاحيَّ في حلقةٍ شعريةٍ تُجَسِّدُ الدورانَ الزمنيَّ والإصرارَ على الطريقِ الطويلِ، رمزاً لنبل ""فزاع"" في مواجهةِ الألغازِ الكونيةِ والإنسانيةِ.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and black bisht with subtle gold embroidery, his face contemplative and resolute, standing against a vast muted cyan desert at twilight, scattered wilting desert roses and a single falcon feather at his feet symbolizing noble endurance and freedom, faint incense smoke wisps curling in cool blue-grey air, distant silhouette of a ghaf tree and camel under a desaturated teal sky, volumetric golden rim lighting with soft amber highlights, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare and subtle film grain, mood deeply philosophical and dignified, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
176,ما كان له داعي,"جرحت قلب الغرام و زدت في عنادك      تبغي الصراحه.. تري ما كان له داعي
من اربع شهور كثر الصد وش فادك ؟      ما غير حرضت طول الليل لاخضاعي
طيرت الاشواق من مرفاك وبلادك      وذبلت رسايلك ، ما جاني بها ساعي
يا زين تتوقع ان اللي حصل زادك      بالعكس ما زادك الا زاد ف اوجاعي
اللي محيرني انك في الزعل عادك      للشك ولهرجه الواشين تنصاعي
لا يكون شي _ في بالك صاير مرادك      اخاف قاعد تفكر تلوي ذراعي
هذي ولا الحلم سولفها علي رقادك      وشلون تبغي تسويها وانا واعي
لو دمعتك سولفت لكبود حسادك      كان الرعيه تقيم قيمه الراعي
من اربع شهور وانت مطول عنادك      اسمع تري صدق ما للي حصل داعي","قصيدة ""ما كان له داعي"" تعبر عن ألم الشاعر ""فزاع"" جراء عناد المحبوبة التي جرحت قلب الغرام بصدّ دام أربعة أشهر، محرضة الليل على إخضاعه دون فائدة. يوبّخها على طيران الآشواق وذبول الرسائل، متعجباً من انصياعها لشكوك الواشين رغم وعيه الكامل. يخشى تلوي ذراعه بأحلام يقظة، مؤكداً أن دموعها لو صدّقت حسادها لقيّمت الراعي عند الرعية. يختتم بنداء للصدق: لا داعي للعناد، فالألم زاد أوجاعه لا قوته، في لوحة عاطفية نابضة بالكبرياء والحيرة العاشقة.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and black bisht with subtle gold embroidery, his face reflecting deep contemplative pain and restrained pride, set against a muted cyan and desaturated teal twilight desert backdrop. Scattered wilting desert roses and sand slipping through fingers symbolize longing and loss, faint incense smoke wisps evoke memory and spirituality. Volumetric golden hour rim lighting with cool blue-grey tones and soft amber highlights, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic lens flare and subtle film grain, emotionally resonant, poetic atmosphere, 8K photorealistic Apple TV+ documentary style, no text, no watermark, no women.",,,,
177,ما يشل الراس,"صارت الدنيا غريبه وصرت انا متوله      عشتها حلم خيالي والغريب لحالي
عشتها ابكل راحه واصبحت لي ممله      عشتها في ابتسامه وعشتها غربالي
ذاك درب الحبيبي قلت ذاك اسهل له      وهذا دربي لو طويل اسهل لي واسوي لي
لو طريقي في عنا اودرب انا ما ادله      احسن اضيع طريقي لو بربع الخالي
انا ظاري ع الصعايب ، الصعب اوصل له      الصعب سهل عليه ، الصعب يحلالي
الصعب لو هو صعب والله انا لا اذله      لا اذل عينه لاجلها في قولي وافعالي
ما يشل الراس الا لي يحطه يشله      وما يوطي راس دايم في العلا او عالي
كان طبعه مختلف او كلمته في محله      هو رزين ولا حكي يعني تقوم جبالي
ميزته حسنه طبيعي صار كله كله      هو علي بعضه حلو من حسنه القتالي
لكن اللي استوي .. الطين زاده بله      ورحت انا في درب ثاني مالها او مالي
باختصار اقول هذا خل فارق خله      خل يحلي حياته بشخص ثاني بدالي
وبصراحه .. كل كلمه قلتها متوله      ال (دبي) وال (دبي) وهي (دبي) ف بالي","قصيدة ""ما يشل الراس"" نبطية عميقة لفزاع، تعبر عن صراع العشق الشاق والكرامة الرفيعة في وجه الصدود، حيث يصف الشاعر تحول الدنيا إلى غريبة ممله رغم عيشه إياها براحة وابتسامة خيالية. يختار درب الصعاب الطويل في ربع الخالي، مفضلاً الضياع على التنازل، معتبراً الصعب حلاله الذي لا يُذل عينه بقول أو فعل. يمدح الرجل الحقيقي الرزين، الذي يشيل رأسه لمن يستحق فقط، وكلمته تقيم الجبال بطبعه المختلف وحسنه القتالي. لكن اللي استوي بالطين زاده بله، فينصح بالفراق: خل فارق خله يحلي حياته بشخص ثاني، وهو يبقى متعلقاً بدبي في باله كرمز للوفاء الأبدي. ملحمة كرامة وفخر بدبي، تجمع الصحراء والعزة في لوحة بصرية قوية.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and black bisht with subtle gold embroidery, his expression resolute and contemplative, embodying stoic pride and enduring dignity, standing against the vast muted cyan and desaturated teal expanse of the Rub' al Khali desert at twilight, scattered wilting desert roses and cracked desert earth symbolizing painful love and unyielding honor, distant falcon silhouette soaring low over sand dunes, soft incense smoke wisps curling in the cool blue-grey air, volumetric golden rim lighting with subtle amber highlights, shallow depth of field with bokeh, shot on ARRI Alexa 65 with anamorphic 85mm lens flare, moody cinematic desaturation, poetic and emotionally resonant atmosphere, 8K photorealistic masterpiece, Apple TV+ premium documentary aesthetic, no text, no watermark, no women",,,,
178,مدخل غرامي,"القلب شال الحب والحب شاله      مدخل غرامي والاحاسيس حوله
وضاع الفكر مابين حاله وحاله      واسهل حلوله صارت اصعب حلوله
الحسن لي يفرض علينا سءاله      كيف الربيع امتد لاربع فصوله
كيف ابتداه الحسن ثم انتهي له      يا لين حتي الحسن منه خذوا له
وانا اتخيل في خيالي خياله      فرصه عمر تحت ابتسامه طفوله
غر _ صفا حسنه وقلبي صفا له      سهل التمني بس صعب وصوله
يحتار فيه اللي يوصف دلاله      ويهين به لي عن جماله حكوا له
يخجل جماله من صفاوه جماله      ويغيض ربات العيون الخجوله
يمشي معاهم بس كنه لحاله      معهم ولكن كن هم لي مشوا له
واللي تعرض في مرامي نباله      والله ما يكسب ولا ربع جوله
عادل ولكن ما برمشه عداله      يظلم محبينه برمشه وطوله
اصلا جنوني بس في حب خاله      وشلون لا باوصف تفاصيل زوله
ان قال صدي .. قلت : لله قاله      وان قال وصلي قلت : بالله قوله
هذا الذي قلبي من الشوق شاله      مدخل غرامي والاحاسيس حوله","قصيدة ""مدخل غرامي"" لفزاع، ملحمة عشقية تُغرق القلب في دوامة الحب الذي يحملُهُ ويُحْمَلُ بهِ، محاطاً بالأحاسيس المتلاطمة. يضيع الفكر بين حال المحبوب وحال العاشق، حيث يتحوّل الربيعُ إلى أربعة فصولٍ من الشوق، ويُسلبُ حتى الحسنُ جمالَهُ أمامه. يُصوّر الشاعرَ المعشوقَ كغريبٍ صافيِ الجمالِ، يخجلُ بهِ الوصفُ والعيونُ الخجولةُ، يسيرُ معَ الخلْقِ وكأنَّهُ لَحْمَدِهِ، عادلٌ يُظْلِمُ محبَّيهِ برَمْشَةٍ تُذِيبُ العقلَ. جنونٌ خالصٌ في حُبِّ ""خالَتِهِ""، يُسْلِمُ لقَضَائِهِ: صدٌّ فَلِلَّهِ، وَصْلٌ فَبِاللَّهِ. تكرُّرُ الطلاسمُ الرئيسيةُ كلازمةٍ تُعْزِفُ نبضَ الغرامِ الأبديِّ، مُجْسِدَةً صراعَ التمنِّي السهلِ والوُصُولِ الصَّعْبِ في عالمِ الخيالِ والطُّفُولَةِ السَّاحِرَةِ.","Cinematic close-up of Sheikh Hamdan bin Mohammed (Fazaa) in traditional white kandura and finely embroidered black bisht, his face reflecting deep, contemplative longing and poetic passion, set against a muted cyan and desaturated teal twilight desert backdrop. Surround him with subtle symbols: scattered wilting desert roses and delicate incense smoke wisps curling upward, evoking the turmoil of love and memory. Soft golden rim lighting highlights his profile with cool blue-grey volumetric rays, shallow depth of field blurring distant camel silhouettes and a faint ghaf tree. Shot on ARRI Alexa 65 with anamorphic lens flare and subtle film grain, composed with rule of thirds for emotional resonance, cinematic masterpiece, 8K photorealistic, Apple TV+ documentary style, no text, no watermark, no women.",,,,
179,مراجل,"تقزمي في عين حسادي وانا عملاق فرض      لان علوي عن وطاهم شي ربي ملزمه
ماتشوف حجم الشمس متقزم علي اصحاب الارض      متقزمين ويحسبون الشمس جات مقزمه
يارب .. وانا عبدك اللي ما بعد هتكت عرض      واذا لقيت الضايق المحتاج وقفت اعزمه
ما علي اشبهك .. واذا غضبت اقول ارض      رزنامه افضالك مداها ما تشابه الارزمه
زد مشبري في الطول طول ومن قوي العرض عرض      ومد لي النصر المبين اللي ماغيرك يهزمه
لو المراجل تنشري سحبت لي مليون قرض      حتي اثبت محزمي يوم تراخي الاحزمه
شفت الحياه بدنيتي سنه وشفت الموت فرض      يوم اتقزم في عيون العالم المتقزمه","هذا النص يمثل ملحمة ذات أبعاد كبريائية تستعرض صمود الشاعر ""فزاع"" في وجه الحساد وضآلة نفوسهم، معلناً علو مكانته الذي فرضه الله عليه فوق الجميع. يستحضر الشاعر عبر صورة الشمس التي لا يقوى الضوءَ عليها، قوة الذات وعزتها التي لا يمكن أن تصغرها أعين الحساد. يتوسل إلى ربه برجاء ازدياد الصلابة والعزم، مؤكدًا ارتباطه العميق بالقيم والمبادئ التي لا تتزعزع، معزّزًا إيمانه بالعدل الإلهي الذي يثبت نصره على أعدائه. الصور البلاغية للنصر والقوة تُبرز ثقة الشاعر بقدراته وشجاعته التي لا تتراجع، إذ يرى الحياة اختبارًا مؤقتًا والموت واقعًا محتمًا، ولكن تبقى عزيمته وعزته ثابتة مهما ضاقت به الظروف. القصيدة تجسد فلسفة الرجل الذي لا يهاب العواصف، متمسكًا بشرفه ومبادئه بين عيون العالم، ما يجعل من مروءته ""مراجل"" لا تنضب ولا تُقهر.","Cinematic medium shot of Fazaa (Hamdan bin Mohammed) in pristine white kandura and black bisht with gold embroidery, his face etched with defiant dignity and unwavering resolve against the backdrop of a muted cyan-tinted desert horizon at twilight, scattered wilting desert roses and cracked earth symbolizing resilience amidst adversity, distant falcon silhouette against desaturated teal sky, subtle incense smoke wisps rising from an Arabic coffee pot representing enduring hospitality, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative yet powerful emotional atmosphere, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
180,مرثيه زايد,"العذر يا بوي لو ماشلني ساقي      الحزن ما طاقني والقلب ما طاقه
ياعيني ابكي وساعدها يا خفاقي      ماهوب عيب يفيض الدمع ف احداقه
ياموحد الدار .. يا المتفرد الراقي      والغيم حزن جذب الاحساس براقه
اشوف كن النهار يحدر احداقي      واشراقته ما تشابه ايه اشراقه
ومن يعذل القلب عن ضيقته لا ضاقي      انسان مشكوك في مذهبه واخلاقه
يا حاكم الارض واول واخر اشواقي      يفداك قلب حزن فرقاك ما ذاقه
في غيابك الناس ماتت وانته الباقي      لانك الغالي اللي يذبح فراقه
يبكيك من يغرس النخله علي الساقي      يبكيك راعي الشداد وراعي الناقه
والطيب والجود والعزه والاخلاقي      والارض وترابها والبحر واعماقه
شيخ مقامه سكن ما بين الاعماقي      حتي الزمن من محبينه وعشاقه","في مرثية مؤثرة تعكس الحزن العميق لفقدان ""زايد""، يتجلى وجع القلب الذي لا يطاق والدمع الذي لا عيب فيه، باعتباره تعبيراً صادقاً عن الاشتياق لشخصية فريدة ومتفردة كانت رمز العزة والجود والكرم. يصور الشاعر ""زايد"" كحاكم الأرض ومصدر أول وآخر الأحاسيس، الذي غيابه مثل موت الناس وبقاؤه في القلوب يذبح الفراق بألم لا يشفى. تتشابك في الأبيات صورة القائد الراسخ في أعماق الأرض والبحر، الذي تجاوز وجوده حدود الزمان ليصبح في وجدان المحبين والأوفياء، حيث تتلاقى أجمل صفات القيادة والإنسانية في شخصية استثنائية يظل صداها حيّاً متجدداً في الذاكرة الوطنية.","Cinematic medium shot of Sheikh Zayed bin Sultan (Zayed Al Khair) in pristine white kandura and black bisht with gold embroidery, his face etched with dignified sorrow and deep patriotic longing, standing amidst cracked desert earth and wilting desert roses symbolizing heartbreak and enduring legacy, distant silhouette of a falcon against desaturated teal sky, subtle incense smoke wisps rising from an Arabic coffee pot, volumetric rim lighting with cool blue-grey tones and soft amber accents, shallow depth of field with bokeh, shot on ARRI Alexa 65 with 85mm anamorphic lens, contemplative emotional atmosphere honoring a unique leader whose absence feels like death yet presence lives in hearts, 8K photorealistic masterpiece, Apple TV+ documentary aesthetic, no text, no watermark, no women",,,,
