poem_id,Title_cleaned,Poem_line_cleaned
54,الجروح,"الله خلق لي نفس تسمو علي البوح      ماهيب لا ضاقت من الهم باحت
علي كثر ما شفت ضيقات وجروح      لا الوجه متغير ولا العين صاحت
ابشرك .. بشاره الروح للروح      تبي تطيحني الليالي وطاحت
هذا انا والوجه باسم ومشروح      وجه بروقه لمعظم الناس لاحت
كم محزم _ بني علي شوفه صروح      وكم نفس من طارف عطاه استراحت
الله وهبنا عز و امجاد و طموح      وذكر علي جدران الايام ناحت
هذي مراجل ماهي بضحك ومزوح      ماهي شموعي لا ضوا الصبح ساحت
الصفح خصله والفخر ماله صفوح      والحزن لا سيطر علي الروح ناحت
بعض الجروح تجي لك شوي وتروح      وبعض الجروح ان جات ماعاد راحت"
55,الزعل ماهو دموع,"وقت الساعه حسب توقيت الاحباب المحلي      ياخفوق _ مايهاب البحر ضيقه واتساعه
ويا نجوم الليل لاغاب السهر في العين طلي      لين نور الصبح باكر يسطع ف وجهي شعاعه
ويا قريحه شاعر _ فكره من اللهفه مولي      علمي حسادي ان الشعر ابداع وبراعه
وزعيني في قلوب الناس وانا في محلي      يكفي اني فرد واحد وتاثر به جماعه
صادق الاحساس لو انه ورا ضلع _ معلي      ياصل لجمهوره الواعي بلا صحف واذاعه
والزعل ماهو دموع وضيقه وحسره ياخلي      ومن يقول انه دموع وضيقه وحسره.. اشاعه
الزعل بين الحبايب مثل لحظات التجلي      فرصه التفكير يا للوصل والا للقطاعه
والليالي من سنين العمر تاخذ ما تخلي      من نشر فيها شراعه لازم _ يطوي شراعه
واللقا مثل القناعه .. كل مازادت تقلي      والفقير ان مات عذره مات من كثر القناعه
والمفارق .. مثل طاري الموت ماعنه تخلي      مءمن به حق ايماني ولا اداني سماعه
ويا حبيبي لا تلوم انسان من طبعه يزلي      ما خلقه الله رسول ولا جعل عنده شفاعه
في الزعل ارفق علينا بالدلال وبالتغلي      وان سمحت العفو عند المقدره والاستطاعه
وان بغيت البعد قلت البعد قال ش فيك قلي      قلت ويش اقول ماعندي علي الفرقي مناعه
كنت احسب اني شجاع _ لايهاب ولا يولي      واثر يوم البعد ماينفع شجاع ولا شجاعه
قال شكلك تبغي الدعوي مسرات وتسلي      وانثني ما عاد له في شوفتي شف وطماعه
قلت له يا كامل الاوصاف انا طالبك باللي      ملكك روح الضعيف وعلمك سمع _ وطاعه
دامك اخترت الفراق وجزت من بعضي وكلي      اخذ عيني واخذ عقلي واخذ خفاقي وداعه
قال : ليه ؟ وقلت عيني لاجل دمعاتي تهلي      يمكن اذا شفت دمعي يحزنك كثر اندفاعه
واخذ عقلي لاجل تدري كيف منك ما يملي      كيف طيفك في خياله كل وقت وكل ساعه
واخذ خفاقي معك لله في لله .. ياللي      مادريت بقيمته عندي سوي لحظه وداعه
وكان لا هذا ولا هذا ولا هذا حصل لي      الفقير ان مات عذره مات من كثر القناعه"
56,السالفه,"قم علم الصبح ويش البارحه قلنا      خله يقول لعواذلنا تصافينا
حتي يعرفون يوم انه تزاعلنا      نبغي نزود قهرهم لا تراضينا
حنا شربنا الغلا حتي تمايلنا      من نشوه الحب تدفعنا خطاوينا
نكسب تعاطف هل الحب بتعاملنا      وهروج حسادنا ما اثرت فينا
ياما وياما حكوا لكن .. تجاهلنا      تلامس احساسنا يسبق خطاوينا
من بدهم في الوفا حنا تاهلنا      كسرت يدين التجافي من تسامينا
يابحر كان انت في موجك تساهلنا      في الحب نبحر ونمسي في موانينا
روض المحبين محمي في مداهلنا      وزهور الاشواق تنبت في مراعينا
حنا الشرف والنقا ونشرف اهلنا      عن الرذيله علي النايف تعلينا
يا ضامي الحب اروتنا مناهلنا      اذا طوانا هجير البعد تسقينا
والسالفه كلها .. يوم تزاعلنا      كله علي شان يقهرهم تراضينا"
57,السمو,"ياعرب تري المكارم والمروه      سيف عز فاللقا ما هو بحاكل
والسمو الي جهل قيمه سموه      ما عرف فرق التوكل والتواكل
والرجل مع رفيقه او عدوه      شيمته هي شيمته ويقولها كل
قالها ياصاحبي واليوم قوه      والله اني كم سنه وانا متواكل
الحقيقه واضحه من دون انوه      تاكل الغيره مثل ما النار تاكل
والمشاكل تهدم جسور الاخوه      هذي كلمه حق من راعي المشاكل"
58,السمو والمعالي,"لو نقول ان المراجل مالها رجال غيره      العفو يارب .. لو قلنا كذا قالوا تعالي
فيه غيره بس نختاله لوحده في الجزيره      مثلما يختال راعي الذود سحب من خيالي
هو نموذج للعدل والدار بافعاله جديره      من مراجل سيدي تلتف هامات الرجالي
شف (دبي ) المستبده بالحلا و المستذيره      في ظلاله كيف صار لها من كفوفه ظلالي
العوالي عسره ودروب مرقاها عسيره      والذي ما يستلذ العسر .. ما يرقي العوالي
يا طموح مواطن رجله علي دربه قصيره      وان ذكرك تسوقه الخطوه علي روس الجبالي
وان ذكرتك مالت بيوت القصيد المستديره      روسها لي لين اقول لها علي شانه تعالي
عادني في الميم الاول من جناب اسم المغيره      اكملت من قبل اكمل (حا) و(ميم)و(دال) تالي
(حاء) حمد و(ميم) مجد و(دال)دار به منيره      كل حرف من حروف اسمه علي القيفان غالي
تكثر باسمه قلايل .. لان مداته كثيره      ولان اوصافه كثيره .. لكن امثاله قلالي
ماهو بطير السعد ، لا والله الا السعد طيره      علم اصحاب السمو وعلم اصحاب المعالي
يفهمون ان المكارم كنز وامجاد وذخيره      حطها الله في يدين القايد الرجل المثالي
حطها الله في يدين ( محمد ) وهلت وفيره      وارتوت منها الشعوب و ربعت منها المفالي
من صنع للدار عز و من بني في البحر ديره      يستحق يقال فيه من الثنا مالا يقالي
حاكم كفه واصابعها سنابلها بخيره      انجزت في ظرف ليله صرح يحتاج لليالي
سنبله تبني عمار وسنبله تغني فقيره      وسنبله ما تعترف باللي يسمونه محالي
والنجاح اللي بزغ ماهوب منقطع نظيره      الا ماله .. لا نظير و لا حلي و لا مثالي
البحر والموج والحلم ومعانيه الخطيره      من صفاته كلها .. ولا يقول ان كلها لي
فيه غيره للوطن والدين .. ولا فيه غيره      من يسولف كل مجد بعزته والراس عالي
كل يوم نشوف صرح _ يلهم العقل ويحيره      يعني التكرار ماله في مخططها مجالي
والثنا والحمد للي كل مسلم يستجيره      والي ما فيه غيره في السما والارض والي
ثم ابو راشد خوي الشعب محمود السريره      دامه الله للمواطن والوطن في و ظلالي
كل خطوه من قدم رجله لها مجد ومسيره      وكل كلمه من فمه فخر وطموحات وامالي
يا سليل المجد تكفيني عن اشياء كثيره      انت ابويه وانت عمي وانت اخويه وانت خالي
خذت م الشهر الفضيل ايامه العشر الاخيره      وخذت م العشر الاواخر ليله غير الليالي"
59,الشاعر اللي,"الهرج فضه والذهب ما يشبهه غير السكات      والطيب اقدر سواليفه واحسب منطقه
والشاعر اللي ضاقت بوجهه وسيعات الجهات      وش فيه شخصيته مهتزه ولا عنده ثقه
حنا سرجنا الريح .. لا تفخر بسرج العاديات      وشوف الزمان اللي يسابقنا قدرنا نسبقه
ولا نحب الثرثره والمعمعه والالتفات      والكذب ليله ينجلي والحق شمسه مشرقه
ما يصنع الانجاز رجال بلا عزم وثبات      الانجاز يبغي له جبين يروي الخد عرقه
طموحنا يسمو علي بدع القصايد في البنات      واكبر من بيوت القصيد اللي علي صدر ورقه
حنا نفكر نجمع التاريخ من بعد الشتات      وانته علي الماضي عيونك كل يوم مبلقه
الاسماء والالقاب والتقدير وانواع الصفات      ينعم بها ربي علي عبده واذا شاء ارزقه
واعذب من النهرين نهر النيل او نهر الفرات      طموح رجال تحداه الزمان و حققه
لا ترتفع يا طيرنا بين النجوم الساريات      ويعاندك صلف الهوي والشمس ريشك تحرقه
لا تحسب انك معجزه .. الا خليفه معجزات      تراك انسان ذنوبه كل ما امسي تورقه
ولا تفلك البندق ما دام انك تهاب الانفلات      تركت للرعيان ما يصمل ويفلك بندقه
وانا اعرف عيال الفقاري واعرف عيال الذوات      مثل البحر يغرق عباد الله وهي ما تغرقه
ابوي علمني ما اسولف غير بالشي الثبات      لو موتتي بالسيف والبندق وحبل المشنقه
ياليت ما انت بحرف في غصن شجره سبع اللغات      اللي تقول جذورها للنصر لا للتفرقه
ياليتك اللي مت واللي مات للحينه ما مات      وعساك فدوه سندسه وديباجته واستبرقه"
60,الصاحب المعني,"والله لخلي السنين الماضيه تعني      ووادع الناس وارجع واخذ المعني
يمكن حبيبي اذا غنيت يسمعني      قبل البحر ياقلوب الشوق تبلعنا
اللي خذاني وعيا ما يرجعني      والدرب مجهول والتفكير ضيعنا
يدفعني الشوق لمواصله يدفعني      تبادل العشق هو سبه دوافعنا
تدرون قلبي علي هجره ما طاوعني      الناس تعذل وحنا ما تسمعنا
لا قلت احبه تراه الصاحب المعني      واللي مع الهجر طبعا ماهو بمعنا
لا قال دعني وانا ما قلت له دعني      يالين سالت من الفرقا مدامعنا
حتي في يوم الموادع يوم ودعني      بكت جميع الليالي من موادعنا
الله يمتعك بلقاي و يمتعني      والقاك والسحب تمطر من تمتعنا"
61,الغول و العنقاء,"كل اتصالات الغلا في خافقي مشبوكه      لاني اتصلت بخافقك وانته تبي تشبكني
واكثر احاسيسي للجنه خافقك متروكه      وكانك متنك لا تزيد الهم وتتنكني
ضمك خفوقي مثل ما ضم الفضا مكوكه      واقفيت مثل الغول والعنقا والا السكني
اللي من اول احسب لهم في الحياه اضحوكه      حتي عرفتك يا معذبني ويا مربكني
تجارب الايام منها مهجتي معروكه      عركت نفسي يا حبيبي قبل ما تعركني
افكر بعقلي وخطه سيرك المحبوكه      وتعالج الايام وادركها قبل تدركني
يبرك ردي العزم من حمله لو انه شوكه      وانا ثقيل الحمل في كتفي ولا بركني
ولا لقيت ابواب حبك يالغلا مصكوكه      ماني بكاشف سدي لخلق الله الا بكني
تري مصابيح السحر تحت يدي مفروكه      وانا ماني بمصباح لجل انك تجي تفركني
لي محزم ماهو يلين و بندق مفلوكه      مشاعري مترابطه وشلون با تفككني
من كثر تصريحاتك اللي فالغلا مشكوكه      حتي الهبوب اللي تحرك ثوبك تشككني
ومن يوم شفتك تنسج العذر الردي وتحوكه      وانا مقرر اتركك قدام ما تتركني
لو كل غايه تشتهيها نفسنا المدروكه      كان ادرك الراعي طموح الشيخ يا مهلكني
يفداك ما تملك جيوب اللي عشقك وبوكه      هذي مقوله كثر ما رددتها تضحكني
انا ملك عاشق ونفسي للغلا مملوكه      املك قلوب المرهفين وطيبها يملكني"
62,الفصول الاربعه,"انساك كلمه مالها ايه وجود بمرجعي      والقلب لا منه نوي غيرك حبيبي بامنعه
تنتابني ذكراك مابين الوعي واللاوعي      ما كنك الا بحر حلمي والمشاعر الاشرعه
من وين تطلع كنك الا تقول ياشمس اطلعي      يتنفس الفجر بنفس حسنك ويشرق مطلعه
مع ان فرعك لو رميت الشمس به عيت تعي      ان الدجا يسري لها من دون ما تتوقعه
ان الدجا يكنز عبيره للنسيم المطلعي      كله علي شان النسيم المطلعي يلعب معه
يمتد ليلي واشعلك شمعه غلا بين اضلعي      ويمر بي طيفك ويتناثر بصدري واجمعه
تحتاج تتعبني وانا احتاج لك وانته معي      بعض المشاعر تتعب المشتاق لكن ممتعه
موقعك من قلبي تدله بس حدد موقعي      وبعدين خذ قلبي وفي دنيا غرامك ضيعه
وان طاب لك شوقي وطاب لصوت همسك مسمعي      القلب لك والشوق في عروقي بكيفك وزعه
القلب ملكك والفصول الاربعه من مطمعي      دام التقت في مبسمك كل الفصول الاربعه"
63,القضا بالقضا,"لاتحاول تعيد بدمعتك ما مضي      ماتداوي دموعك جرح طول البعاد
انتهي الحب ياللي بيننا وانقضي      ولا بقي لك بقلبي غير ذكري وداد
كنت اجيك بخفوق فيه حب ورضا      وكنت انته حبيبي غايتي والمراد
وكنت اشوفك حياتي جوها والفضا      وكنت يوم تغيب اموت هم و نكاد
بس خذها بصراحه القضا بالقضا      ذوق كاس شربته منك اسمه عناد
يرفض القلب مثلك به وداد حظا      دامه انسان مثلك قطعه من جماد
ما تعيش المشاعر في خفوق فضا      كيف تبني وداد له عنادك عماد
يا فقير المشاعر ، ياشتات الشظا      المحبه بوادي ، وانت والله بواد"
64,المورد واحد,"يا شوق عيني عقب شوفتك ضميا      عزي لصب ضاميات اعيانه
تطري له اشيا من فراقك اشيا      مجبور يتركها تحت ضلعانه
ان غض جفنه جاب طيفك طريا      وشلون تغضي بالمنام اجفانه
ما شاف لك بين البرايا حليا      يا غربته .. ودروبه .. وعنوانه
عين الغلا يانور عيني عميا      ما ينظر العاشق عدي خلانه
ان غبت عن عيني تضيق الدنيا      وان جيتني ساق الفرح ركبانه
اموت بك ياروح روحي واحيا      يا منوه القلب وصدي حرمانه
ليت العمر تقبل سنينه عطيا      واعطيك من عمري جميل ازمانه
عيت سنيني يا حبيبي وعيا      صرف الدهر يجلي سحاب احزانه
عيت وانا روحي بحبك مليا      والعين بك يا صاحبي مليانه
لا تطري المقبل قبل ما اتهيا      وتزيد في صدر الغريم اشجانه
مادام لك بين الحنايا ريا      خل (الوصل) يخطب (رياض) اجنانه
خل العمر ياروح روحي فيا      ويجر في حسنك بديع الحانه
لك حسن يخجل من بهاه الضيا      سبحان من صاغ الحسن سبحانه
الزين ما زادت بزينه لازيا      زايد بزينه .. لان زوده زانه
الفرع وارد والموارد ( لميا )      ما تنورد واطرافها ريانه
في نشرها نشر الورود العذيا      والنحر منها واضحات الوانه
والثغر صارت له وصوف عصيا      يوم اجتمع ثلجه علي نيرانه
بين البرد والجمر صارت لقيا      كيف التقت لاضداد في بستانه
هذا وانا عيني لشوفته ضميا      عزي لصب ضاميات اعيانه"
65,الموعد,"جيتك علي الموعد ولا جيت      وش عن لقانا مانعنك
كنك عن الموعد تخليت      يا ويل ياللي عاشقنك
ليتك لصوت المغرم اصغيت      اوتار صوته يعزفنك
كل حرف منك يستوي بيت      واربع حروف ينطقنك
ياما علي شانك تحديت      سود الليالي واسهرنك
منك انا لا حي لا ميت      لا ميت و لا حي منك
يوم بنظر عيني تربيت      وامرت بامرك طايعنك
ليش التغلي والتعنيت      اهات صدري ما كفنك
لونك تباعدت وتقاسيت      لك في المحبه عكس ظنك
ان كان لي يوم وتمنيت      شوفه عيونك طالبنك"
66,الناس بالاحساس,"الصمت نعمه والتواضع فضيله      والكون له خالق و في الارض حكام
والمجد غايه والجمايل وسيله      والموهبه للروح تعبير والهام
واللي يدور حاجه مستحيله      لابد ما يجزع من النوم لا نام
قد لي ثلاث ايام ما نمت ليله      مع ان عيني من سهرها لها عام
لو كنت ادور للبيوت الجميله      شبعت عطاش الورق حبر الاقلام
ماني بمن يكتب لقاله وقيله      او طامح بتصفيق ودروع ووسام
غير ملامح دفتره من مزيله      ياما كتب ميم _ وياما كتب لام
ان غاب عنك قلت ياعزتي له      وان زاحم الشعار ما سبب زحام
وانا لو اكتب لي قصيده طويله      اصور التعبير تصوير الافلام
اشعل سما الابداع نار وفتيله      وازرع مساحات المعاني بالالغام
واشفي عذابات الكبود العليله      واغير انشاءات ..واكسر ارقام
اجيب روس الكاملات الجزيله      صناعتي ماهي صناعات الاعلام
والا الضعيف ابو المعاني الهزيله      ماهو موصلها ولو يركض اعوام
اما الثقيل .. ابو المعاني الثقيله      يبغي له اربع خمسه سنين قدام
انا كذا .. ما لي مع الشعر حيله      كلما كبرت اشوف حسادي اقزام
ياهاجسي باوصيك ولك الدليله      رح بلغ اللي عايشين _ بالاوهام
قل للبخيل اللي يمينه بخيله      تري حياته كلها .. عده ايام
اعطي العطا لو هي بحاجه قليله      علي الاقل يقال من نسل الاكرام
ويا دمع خلك في العيون العليله      بجاه من صلي لربه ومن صام
لا تنتثر علي الخدود النحيله      وتهتز لك حكام .. وعيال حكام
حنا عيال العود راع الجزيله      حنا بني السءدد ومن لام ينلام
تطول قوايمنا مع كل عيله      وتحني قوايمنا علي دموع الايتام
لاتقول يا حلوه ولا يا حليله      ذولا بشر .. ربي مقسمهم اقسام
خذا عوافيهم .. وحصل حصيله      واعطي لهم صبر وتباشير واحلام
وقل للمعاق اللي ماتمشي رجيله      الناس بالاحساس ماهي بالاجسام
وتري احاسيس الخفوق النبيله      توصل اللي ما توصله الاقدام"
67,اول انسان احبه,"لي صاحب من اول اذا قمت اناديه      الشوق من بين المحاني يشبه
تقول لي لبيه .. لبيه .. لبيه      وانا اتفدي به مع كل لبه
واليوم شكله ضايق _ ما اعرف ش فيه      من الوصل ريح المفارق تهبه
لو كان ضاق بسبه .. اجيه وارضيه      المشكله ضايق ومن دون سبه
ياهيه .. يامغرور .. ياهيه ياهيه      هذا تري ماهو نظام الاحبه
لو قالوا العذال وش انت تبغيه      ابغيه رمز _ للوفا والمحبه
ابغيه دايم كل ما مر طاريه      اغيض به عذالي اللي تسبه
سولف معي لكن من دون تشبيه      ما بيني وبينك شبه لا تشبه
انته تقول انا اخر انسان تغليه      وانا اقول انت اول انسان احبه"
68,بالمختصر,"بعيد تاركني ادور لك اعذار      علي الغياب وصدتك وانعزالك
معقول ما جالك علي البال زوار      اللي عطالك فرحته ما طري لك ؟
شهرين واسراب الغلا مالها دار      تاهت وهي تبحث في غابه خيالك
ماتدري ان مفارق الخل جبار      وان الفراق اكبر سبب للمهالك
وانا وحيد وما معي غير تذكار      لو تنشده عن حال خلك حكي لك
كانت حياتي قبلك دروب واسفار      حتي ملكت اللي بقي في وصالك
حبيبك محطم جروح ومنهار      حاله عليك من الوله عكس حالك
قبلك انا وسهيل والجدي سمار      نشرح تغنجك وحلاك و دلالك
نسيتني في الليل ونجوم الاسحار      قيلت ما لي مرقد في ظلالك
خليتني اتعب علي جزل الافكار      قلت القصيد وقلت لك طاب فالك
نقلت قدام العدد كل الاصفار      وحطيتني رغم الفقر راس مالك
انا غريب الدار .. غريب الاطوار      بالمختصر انقذت لك شخص هالك
والحين من شهرين من صار ماصار      وانا اتمني يا حبيبي سءالك
بالله .. ما جيتك علي البال زوار      طيفي دخيل الله ما قد طري لك"
69,بحور,"صغت المعاني من بحور الهواجيس      واخترت منهن من صفا نقو الالماس
بيوت شعري يسبقني مراميس      وبهن احرك نبض قلبي والاحساس
سايرتهن يوم الخلايق مناعيس      ونظمت نظم القاف ساس علي ساس
واجد في سيري علي ضمر العيس      واسري بليله سرمديه بالاغلاس
ما همني طول المدي والمراويس      ضاري علي فعل يحيدونه الناس
اغوص قوع ما تجيبه مقاييس      اخذ من الدانات ما يصيبني ياس
وان هيضني قايدات المكانيس      احس في قلبي شري دق الاجراس
انا الهواوي ما علي القلب تحميس      اطلق عنان الشوق واقول لا باس
طب الامور المقفيات المناحيس      وانظر بعيد وطاول النجم بقياس"
70,برج العرب,"في عبارات العيون اشيا كثيره تسالك      دمعها حكي ونداها بلل الخد الندي
ما قدرت ارضي غرورك واستحيت ازعلك      كلما لك وانت تنهيني وانا ارد ابتدي
دام نظراتك مدارات ورجا قلبي فلك      كم عن برج العرب يبعد مدي برج الجدي
قلت تقريبا عدد ما عاشق بحبك هلك      تقصد الا اعد نص جروح قلبي يا بعدي
قلت لك لا لا ترد تقول لي ما قلت لك      المشاعر ما تنام الا انت قلت لها ارقدي
وانت يوم الله عطاك احلي الوصوف وكملك      كيف تتركني علي شطك وانا قلبي صدي
والله ان عروق قلبي كلها ترتاح لك      ليتك الا مثل ما خذت بيدك خذت بيدي
من لمست ايدك وانا اتفداك واتفدي هلك      ما دريت ان الهوي والعشق باللمس يعدي"
71,برج عاجي,"في حضورك في غيابك ما يغير لي مزاجي      في كلامك في ملامك ما تكدر لي طربها
لا تحسب ان كل قلب انعكاسه كالزجاجي      وان ياخذ كل عين حسنك ويعلن نهبها
كيف اعذرك عقب هجرك وانت برجك برج عاجي      شفت نفسك مثل شمس للنهار الله وهبها
من عطي لك حق تجرح من يقول انك علاجي      لا تسولف عن علاجي والجروح انته سببها
لا تناجي في عتابك العتب غير التناجي      خذ مقامك باحترامك لا تبين لي عتبها
طال داجي كيف اناجي في الهوي شخص احتجاجي      صار قدره مثل عذره يشبه ذنوب ارتكبها
لا تلاعب بالمشاعر دام بحر الشوق هاجي      المشاعر نبض شاعر والحظيظ اللي كتبها
وانت ياللي صرت خلي احذر اقوال المداجي      قال كلمه لوم لكن ما عرف كيف يحسبها
وان صفينا والتقينا لا تكدر لي مزاجي      خذ مقامك باحترامك لا تبين لي عتبها"
72,بعلبك,"هاتوا لي البنتلي لو في طرف سكه      ابغي اطالع حبيبي ع البلكونه
لو سهم عينه بقلبي صوب وشكه      ما ارد دونه لو ان الموت من دونه
اقلب ( بعلبك ) لو يامر بعلبكه      وارض الكنانه عشانه ارض مكنونه
رمشه يهودي ولكن قبلته مكه      له رمش كافر لو الاسلام في عيونه
كم درهم من ذهب هارون ما سكه      وكم درهم زاد سعره لجل هارونه
بشري بمليون لكن ما معي فكه      من يقدر يفك والمليون مليونه
ويا صاحبي لا تبيع الجبن في عكه      الجبن اكثر اهل ( عكه ) يبيعونه
والشعر اماشيه بعض احيان وادكه      عاقل ولكن بيوت الشعر مجنونه
كل المزايين لول .. وخلي اليكه      واليك يفرق حلاه و وزنه ولونه
يا معشر القوم انس في الحشا تكه      حسبي علي اللي بقلبي وثق طعونه"
73,بن و هيل و تمر,"يا صباح النور .. من بعد العتيمه      ويا صباح النرجسي من بين ثمره
وياصباح الخير والورد ونسيمه      ويا صباح العود الازرق فوق جمره
ويا صباح العز جعل الله يديمه      من بعد ليل خذينا فيه سمره
اعظم الاحساس للناس العظيمه      وللعقل زمره وللخفاق زمره
والوصل يا صاحبي مثل الغنيمه      ليه تنسي واحد معطيك عمره
الغلا مثل الندي والشوق ديمه      وانت بن العاشق وهيله وتمره
والوله ماهو بنصر ولا هزيمه      ما انت قادر تهدمه حتي تعمره
الوصل من بيننا ماهو جريمه      الوصل بامر الولي والهجر بامره
والخجل في خدودك البيض الحشيمه      كاسي لون البياض شوي حمره
تدمع عيوني من الذكري القديمه      والحزن ينساب في القلب ويغمره
شوف قلبي نار فرقاك ف صميمه      جمر فحم وجمر رمث وجمر سمره
استقم علي الدروب المستقيمه      روح مكه واخذ لك حجه وعمره
دايم قمرا نواياها سليمه      ليه قلبك ما يسوي مثل قمره"
74,بنات الريح,"يا الريح ياللي تنثرين المناديل      قلبي بنات الريح عقبك غدو به
قلب تولع بالاصايل من الخيل      اللي لها في كل لفته عجوبه
للخيل عند اهلي مكانه وتبجيل      علي ظهرها كم بتيل لفوبه
متوارثين السبق جيل بعد جيل      من قبل ( قود الفن ) يتناعتوبه
قند (يابو راشد) دلال معاميل      ما دام نفسي للقوافي طروبه
لا تطري اللي جدموا لي مهازيل      خيل قبل عطب الدروب معطوبه
قالوا خذ اللي سيرها يسبق السيل      والعاتي الصرصر تناخر هبوبه
وتوشحوا خيل مداها مداهيل      عزومها فوق الدروب معصوبه
هم فضلوا لانفسهم الخيل تفضيل      واللي فضل عنهم بصدري رموبه
ما لومهم لو شفت قل المحاصيل      من يزرع بارض الصبخ وش ينوبه
اترك (يابن حرمش) هل القال والقيل      طب الردي لا تحط دوبك ودوبه
والله ما اكذبك جمله وتفصيل      صادق ولو نظرات غيرك كذوبه
معزبك يقرا عيون الرجاجيل      يفطن لهم لو سرهم ما فضوبه
معانس الدنيا علي العدل والميل      اقفر ثري الساري واسري دروبه
واللي يمثل لي محبته تمثيل      احك ظهره لين تظهر عيوبه
مابطري اسمه دام من سبق الخيل      شع اوله يوم اخره فارقوبه"
75,بياض التجربه,"احب هاجوس الشعر من كل نوع      والنادره تصبح بي وامسي بها
والهامه اللي ما تعرف الا الخضوع      كم في ميادين الشرف ترتيبها
مع كبار السن .. ياتيني خشوع      واشعر براحه ماحد _ يدري بها
كم شايب _ ماهو من الدنيا جزوع      متمرس _ فيها … وفاساليبها
لحيته فيها شيب لكنه قنوع      شوفوا بياض التجربه في شيبها
باعياد ميلاد البدر ليت الشموع      اللي البشر فاعيادها تضحي بها
ما تنور لرجل _ في هالدنيا خنوع      ما تنور الا للرجال .. وطيبها
واذا الطلوع اصعب علي نفوس التبوع      يامشرق احلامي ويا تغريبها
انا النزول اصعب علي من الطلوع      ميزه بعض الاحيان ما ودي بها
وقف هنا لحظات خليها سبوع      في الصدر غنوه ودي اغني بها
واللي سواتي غنوته جرح و دموع      بكيه .. ولكن مستحي يبكي بها
اذا الخطا قدام .. ياطيب الرجوع      مالت علي نفس _ ما تستر عيبها
واذا الوقوف يصير من بعده وقوع      الجلسه اللي بينهن يا طيبها
ما يذبحك من داخلك الا _ الطبوع      اللي تمارسها .. ولا توصي بها
اطلب رضا الله دام قلبك فيه روع      واثني الصلاه اللي تبي تصلي بها
وضع السجود يشابهه وضع الركوع      واستحضر الدعوه قبل تدعي بها
يارب سبحانك عساي من الجموع      اللي علي النار يحرم تعذيبها
القلب في العشر الاواخر جاك طوع      ويقول .. سبحانك يا عالم غيبها"
76,بيت في حرف,"متي ما ينوزن لك بيت لكن يختفي لك حرف      متي كل ما يجي لك حزن لكن ما تبي تلمه
متي كل ما تشوف العين عينك دمعها يذرف      متي كل ما يجيك صديق خايف من بني عمه
متي ما زادت حمولك ع ظهرك ولاتروم تخف      متي ما تنقطف الازهار وريح الزهر ما تشمه
متي ما هم عزوك الناس حتي عرق جدك قف      متي يحتار بني ادم ما بين الشك والذمه
متي ما اهتزوا الشجعان بطاري الموت في موقف      متي ما تلتقي الاعدا تشوف الناس ملتمه
متي ما يضحكوا لك ناس لكن بحجاج عكف      هذاك اليوم بني ادم يبي يتبرا من دمه
احس الشوق لي فيني مثل هذا ويزيده رضف      اذا الميعاد يتخالف وهو الميعاد ما يتمه
حبيبي لا تزيد البيت ولا لا تنقصه في حرف      انا وياك نتراضي ونعيش الحب في القمه"
77,ترنيمه,"بواحه الاسرار منقود منقود      لا لا تكلم باللسان الطليقي
ترنيمه النهوند وترنيمه النود      قام يعزفها حيل وانا في ضيقي
يا ذا البشر يا راعي الخيل والذود      كيف الخيانه لي تزين الرفيقي
ما كنت بعشقها ولا كنت باعود      لين اكتشفت انه هواها حقيقي
في مقلتيك انهار وبحور وورود      لايق وفيك الوصف كله يليقي
يا معادي للنقص تستاهل الزود      وانا لك بسمع الغرام استريقي
ارحمني بنظره تري نظرتك جود      مشاعري نامت ولا قلت فيقي
ضميان قرب شفتك يا سيد الخود      اخاف اموت فراق ما ابتل ريقي
صحيح انا محبوب للبيض والسود      لكن ما غيرك لقلبي عشيقي
اليا فتحت العين القاك موجود      ذكراك ترسم صورتك في طريقي
لا تشعل النارين يا مخصر العود      انا بليا عود .. زايد حريقي"
78,تعال واسالني,"مفروض لا قلت عني سالفه قلني      مع فعول الرجاجيل اذكر اسماها
ما ابيك لا انته ولاغيرك يجاملني      انا اكبر من النفوس ومن محاباها
في خاطرك شي لي تعال واسالني      لا تحكم بغيب نفسك وترضاها
لا تنوي انك باسلوبك تقللني      تري الله يحاسب الناس بنواياها
وتراك ما انته بتفرحني وتزعلني      لان الحقيقه حقيقه لو تناساها
والفرق بين تجاهلني .. وتجهلني      كبر البسيطه من اقصاها لادناها
انا اللي عقول مثلك ما تحللني      الله خلق خلقه وميز مزاياها
خلقني بهالزمان اللي معلمني      كثرت حكايا الرجال وقلت احلاها
تنزيل مثلك لقدري ما ينزلني      ما كل حاجه تمناها با تلقاها
في عيون بيض الوجوه الله مجملني      انا احشم اشنابها وادسم لحاها
لا تعتذر لي ولا ترجي تواصلني      ولا تلحق الذنب مدح وتقصر خطاها
مدايح اللي سواتك ما توصلني      لو تمطر الارض ماوصل السما ماها"
